Sat_Name,Country,Country_of_Operator,Owner,Users,Purpose,Class_Of _Orbit,Type_Of_Orbit,Perigee_in_km,Apogee_in_km,Date_Of_Launch,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,SatID,Comments
OneWeb-0598                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004Q,55154,No Comments
OneWeb-0599                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004R,55155,No Comments
OneWeb-0609                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AA,56070,No Comments
OneWeb-0613                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,733,738,26/03/23,OneWeb Satellites,USA,Satish Dhawan Space Center,LVM3,2023-043AB,56071,No Comments
OneWeb-0614                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004S,55156,No Comments
OneWeb-0616                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004T,55157,No Comments
OneWeb-0617                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004U,55158,No Comments
OneWeb-0618                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004V,55159,No Comments
OneWeb-0619                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004W,55160,No Comments
OneWeb-0620                ,United Kingdom,United Kingdom,OneWeb Satellites,Commercial,Communications,LEO,Polar,"1,200","1,202",10/01/23,OneWeb Satellites,USA,Cape Canaveral,Falcon 9,2023-004X,55161,No Comments
